prompt,model,temperature,message,prompt_tokens,completion_tokens,total_tokens,error
How many hours are in a day?,openai/gpt-oss-120b,0.7,There are 24 hours in a day.,98,50,148,
How many hours are in a day?,openai/gpt-oss-120b,0.7,A day has 24 hours.,98,49,147,
How many hours are in a day?,openai/gpt-oss-120b,1,There are 24 hours in a day.,98,32,130,
How many hours are in a day?,openai/gpt-oss-120b,1,A day has **24 hours**.,98,49,147,
How many hours are in a day?,openai/gpt-oss-120b,1,There are **24 hours** in a day.,98,38,136,
What is the capital of Japan?,compound-beta-mini,0,Tokyo.,488,45,533,
What is the capital of Japan?,compound-beta-mini,0,Tokyo.,488,45,533,
What is the capital of Japan?,compound-beta-mini,0,Tokyo.,488,45,533,
What is the capital of Japan?,compound-beta-mini,0.7,Tokyo.,488,45,533,
What is the capital of Japan?,compound-beta-mini,0.7,Tokyo.,488,45,533,
What is the capital of Japan?,compound-beta-mini,0.7,Tokyo.,488,45,533,
What is the capital of Japan?,compound-beta-mini,1,Tokyo.,488,45,533,
What is the capital of Japan?,compound-beta-mini,1,Tokyo.,488,45,533,
What is the capital of Japan?,compound-beta-mini,1,Tokyo.,488,46,534,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,0,The capital of Japan is Tokyo.,38,8,46,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,0,The capital of Japan is Tokyo.,38,8,46,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,0,The capital of Japan is Tokyo.,38,8,46,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,0.7,Tokyo.,38,3,41,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,0.7,The capital of Japan is Tokyo.,38,8,46,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,0.7,The capital of Japan is Tokyo.,38,8,46,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,1,The capital of Japan is Tokyo.,38,8,46,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,1,The capital of Japan is Tokyo.,38,8,46,
What is the capital of Japan?,meta-llama/llama-4-scout-17b-16e-instruct,1,The capital of Japan is Tokyo.,38,8,46,
What is the capital of Japan?,openai/gpt-oss-120b,0,Tokyo is the capital city of Japan.,97,30,127,
What is the capital of Japan?,openai/gpt-oss-120b,0,Tokyo is the capital city of Japan.,97,30,127,
What is the capital of Japan?,openai/gpt-oss-120b,0,Tokyo is the capital city of Japan.,97,30,127,
What is the capital of Japan?,openai/gpt-oss-120b,0.7,Tokyo is the capital city of Japan.,97,38,135,
What is the capital of Japan?,openai/gpt-oss-120b,0.7,Tokyo is the capital city of Japan.,97,29,126,
What is the capital of Japan?,openai/gpt-oss-120b,0.7,Tokyo is the capital city of Japan.,97,32,129,
What is the capital of Japan?,openai/gpt-oss-120b,1,Tokyo is the capital city of Japan.,97,33,130,
What is the capital of Japan?,openai/gpt-oss-120b,1,Tokyo.,97,38,135,
What is the capital of Japan?,openai/gpt-oss-120b,1,Tokyo is the capital city of Japan.,97,36,133,
What color do you get when you mix red and blue?,compound-beta-mini,0,"Mixing red and blue typically produces purple (often called violet or magenta, depending on the shades).",498,67,565,
What color do you get when you mix red and blue?,compound-beta-mini,0,"Mixing red and blue typically produces purple (often called violet or magenta, depending on the shades).",498,69,567,
What color do you get when you mix red and blue?,compound-beta-mini,0,"Mixing red and blue produces purple (often called violet or magenta, depending on the shades).",498,67,565,
What color do you get when you mix red and blue?,compound-beta-mini,0.7,"Mixing red and blue typically produces purple (often called violet or magenta, depending on the shades).",498,67,565,
What color do you get when you mix red and blue?,compound-beta-mini,0.7,Mixing red and blue produces purple.,498,67,565,
What color do you get when you mix red and blue?,compound-beta-mini,0.7,Mixing red and blue produces purple (often called violet).,498,60,558,
What color do you get when you mix red and blue?,compound-beta-mini,1,Mixing red and blue typically produces purple (often called violet).,498,62,560,
What color do you get when you mix red and blue?,compound-beta-mini,1,"Mixing red and blue produces purple (often called violet or magenta, depending on the color model).",498,98,596,
What color do you get when you mix red and blue?,compound-beta-mini,1,Mixing red and blue produces purple (often called violet).,498,63,561,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,0,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,0,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,0,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,0.7,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,0.7,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,0.7,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,1,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,1,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,meta-llama/llama-4-scout-17b-16e-instruct,1,You get the color purple when you mix red and blue.,43,13,56,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,0,"Mixing red and blue produces purple (often called violet or magenta, depending on the shades).",102,66,168,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,0,"Mixing red and blue produces purple (often called violet or magenta, depending on the shades).",102,66,168,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,0,"Mixing red and blue produces purple (often called violet or magenta, depending on the shades).",102,66,168,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,0.7,Mixing red and blue produces purple (often called violet).,102,57,159,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,0.7,Mixing red and blue produces purple (often called violet).,102,57,159,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,0.7,Mixing red and blue produces purple.,102,65,167,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,1,Mixing red and blue produces purple.,102,50,152,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,1,Mixing red and blue produces purple (often called violet or magenta).,102,60,162,
What color do you get when you mix red and blue?,openai/gpt-oss-120b,1,Mixing red and blue produces purple (often called violet).,102,59,161,
